通巻	区分	番号	氏名	題名	開始頁	終了頁	備考
147	短信	11			22		
147	交換欄	12			24		
147	会からのお知らせ	13			25		
148		1	瀬野 純一・青柳 純一	宇部市中部の食虫植物の自生地状況	27		
148		2	岡田 章	壱町田湿地での観察記録（1993年、その2）	28		
148		3	三野 善弘	セイシェルの Nepenthes pervillei	31		
148		4	日下部 勇	蟻植物に就いて（その3）	35		
148		5	岡村 正治	Nepenthes Sanyo	37		
148		6	外山 雅寛	日本産食虫植物の記録よりみた歴史的知見（Ⅴ）コタヌキモ（エゾタヌキモ）とヒメタヌキモの区別	39		
148		7	石坂 悟	Heliamphora minor の栽培について	40		
148		8	尾坂 啓一	球根ドロセラについて	41		
148		9	柴田 千晶・小宮 定志	1993年自生地見学の記録、特に“ナガバノイシモチソウの北限と南限”見学記	43		
148	短信	10			45		
148	交換欄	11			49		
148	会からのお知らせ	12			51		
149		1	菅原 陽子	モウセンゴケの生態学的研究（その1）	53		
149		2	越川 幸雄	NOVA SCOTIA 記	62		
149		3	日下部 勇	蟻植物に就いて（その4）	64		
149		4	路川 宗夫	館岡先生とともに歩いた山々	67		
149		5	斎藤 央	おのぼりさんの新年会報告	68		
149	文献紹介	6		Les plantes carnivores；A list of the flowering plants of Botswana；ウツボカズラの栄養繁殖に関する研究；他	69		
149	短信	7			72		
149	交換欄	8			74		
149	会からのお知らせ	9			76		
150		1	菅原 陽子	モウセンゴケの生態学的研究（その2）	79		
150		2	柴田 千晶	ギアナ高地の食虫植物を訪ねて	87		
150		3	外山 雅寛	北海道美々湿原の植物相について（第2報）	91		
150		4	宮本 誠	奈良県にイシモチソウの新自生地	98		
150		5	田辺 直樹	千葉県九十九里地方の自生地を訪ねて	99		
150		6	岡村 正治	ネペンセスの水ざし発根法について	101		？：ネペンセス→ネペンテス
150		7	尾坂 啓一	ヘリアムフォラの栽培	103		？：ヘリアムフォラ→ヘリアンフォラ
150	文献紹介	8		食虫植物の遺伝子保管と保護・保全、他	104		
150	短信	9			107		
150	交換欄	10			111		
150	会からのお知らせ	11			111		
151		1	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（42）Fickle Koto（No.1）の特長	1		
151		2	中川 泰秀	Gunung Murudへの旅（その1）	2		
151		3	岡田 章	壱町田湿地の観察記録（1994年）	7		
151		4	勝俣 員伊	ナガバノモウセンゴケとムシトリスミレの自生地探訪記	11		
151		5	S.E.LAMPARD（新村 博・越川 幸雄 訳）	メキシコでピンギュイクラを探す	15		
151		6	瀬野 純一	宮崎のシロバナナガバノイシモチソウの自生地	18		
151		7	田村 統	食虫植物と蟻植物についての新知見	18		
151		8	田辺 直樹	食虫植物の殖やし方	20		
151		9	山田 真也	セファロタスの栽培	22		
151		10	青柳 純一	北九州市における食虫植物展	23		
151		11	岡村 正治	兵庫県で開催された食虫植物展を見て	24		
151	短信	12			25		
151	交換欄	13			28		
151	会からのお知らせ	14			29		
152		1	中川 泰秀	Gunung Murudへの旅（その2）	31		
152		2	尾坂 啓一	オーストラリア放浪記	36		
152		3	宮本 誠	近畿食虫植物分布調査（2）	41		
152		4	岡田 章	壱町田湿地の観察記録（1994年、続報）	42		
152		5	日下部 勇	Pinguicula　2題	44		
152		6	田辺 直樹	食虫植物の枯らし方	46		
152	文献紹介	7		Some proposals on the infragenetic classification of Drosera L.；Relationships of Droseraceae；三重の生物；葦毛湿原調査報告書；他	49		
152	短信	8			52		
152	交換欄	9			56		
152	会からのお知らせ	10			58		
153		1	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（43）Engaging Koto（No.3）の特長	59		
153		2	瀬野 純一	川南湿原について－ナガバノイシモチソウの生育状況－	60		
153		3	小宮 定志	羽生市宝蔵寺沼のムジナモと共に40年	66		
153		4	日下部 勇	Pinguicula　三題	70		
153		5	猪熊 清隆	阪神大震災を体験して	71		
153		6	田村 統	食虫植物入門	72		
153		7	佐藤 秀海	食虫植物冬の管理	77		
153	文献紹介	8		近畿地方の保護上重要な植物；神奈川県レッドデータ生物調査報告書；絶滅が危惧される日本産食虫植物；ロライマ山及びグランサバナの食虫植物；他	78		
153	短信	9			80		
153	交換欄	10			85		
153	会からのお知らせ	11			86		
154		1	瀬野 純一	西日本におけるコモウセンゴケの自生地について	89		
154		2	小宮 定志・柴田 千晶	三重県で発見されたムシトリスミレ群落	92		
154		3	柴田 千晶	再びギアナ高地の食虫植物探査	95		
154		4	外山 雅寛	「樺太に幻の食虫植物を求めて8日間の旅」に参加して	101		
154		5	若林 浩	海外の食虫植物取扱業者について	104		
154		6	田辺 直樹	栽培環境の作り方－温室の設置－	106		
154		7	岡村 正治	私のハエトリソウ栽培方法	108		
154		8	三野 善弘	交換欄についての私の意見	109		
154	文献紹介	9		C.P.Total Listing；An account of Nepenthes in N.G.；ウツボカズラの収集と品種の育成（1）；夏に楽しむ食虫植物；他7件	110		
154	短信	10			112		
154	交換欄	11			117		
154	会からのお知らせ	12			118		
155		1	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（44）Forceful Koto（No.1,3）の特長	1		
155		2	尾高 徳夫・伊東 達雄・川辺 侃・岩瀬 政広	国指定天然記念物　成東・東金食虫植物群落の現況	3		
155		3	島井 弘男	アメリカの自生地と植物園紀行	15		
155		4	尾坂 啓一	オーストラリア放浪記（パート2）	19		
155		5	赤塚 靖	各務原市周辺の食虫植物	20		
155		6	宮本 誠	近畿食虫植物調査、1995年	22		
155		7	田村 統	東播磨地方の食虫植物を訪ねて	23		
155		8	青柳 純一	北九州市における食虫植物展	27		
155	短信	9			28		
155	交換欄	10			31		
155	会からのお知らせ	11			32		
156		1	岡田 章	壱町田湿地の観察記録（1995年）	33		
156		2	小宮 定志	羽生市宝蔵寺沼ムジナモ自生水域における環境の変遷	37		
156		3	島井 弘男	ヨーロッパの植物園	41		
156		4	尾坂 啓一	オーストラリア放浪記（パート3）	44		
156		5	田辺 直樹	千葉県・茨城県の自生地報告 ～残された自然を求めて～	45		
156		6	小宮 定志	オーストラリア産 Drosera　新種名の整理	47		
156		7	佐藤 大作	水戸市植物公園の食虫植物展	49		
156	文献紹介	8		Notes on Nepenthes；日本の消えゆく植物たち；兵庫県播磨地方のミミカキグサの生育形；壱町田湿地植物群落の植物；他	50		
156	短信	9			53		
156	交換欄、利用についてのご注意	10			56		
156	会からのお知らせ	11			58		
157		1	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（45）Formal Koto（No.1,2）の特長	59		
157		2	小宮 定志・柴田 千晶	日本におけるムシトリスミレの分布	61		
157		3	Siegfridt Hartmeyer, 訳 池田 竜樹・田辺 直樹	食虫植物と昆虫学	68		
157		4	田辺 直樹	栽培用土の選び方～水苔の時代は終わったか？～	71		
157		5	島畑 智志	少年時代の食虫植物の思い出	72		
157		6	島井 弘男	チェルシー・フラワーショウ	74		
157		7	田中 桃三	多摩ニュータウンでの食虫植物展	75		
157	文献紹介	8		富山県に確認されたトウカイコモウセンゴケ；動く植物；Petcher-plants of Borneo；Bromeliaceae of Venezuela；他	75		
157	短信	9			78		
157	交換欄	10			80		
157	会からのお知らせ	11			82		
158		1	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（46）Frosty Koto（No.1,2）の特長	85		
158		2	外山 雅寛	下サロベツ原野のナガバノモウセンゴケ・モウセンゴケの自生地調査	87		
158		3	外山 雅寛	気温の推移と寒地性タヌキモ類の開花との関係	89		
158		4	森本 泰弘	茨城・福島県の自生地報告	91		
158		5	田辺 直樹	早出峡のムシトリスミレを訪ねて	93		
158		6	田辺 直樹	南総食虫植物園を訪ねて～みんなの夢をのせて～	96		
158		7	島井 弘男	ヨーロッパの植物園（2）	97		
158		8	小宮 定志	信州大学標本庫の調査結果について	100		
158		9	岡村 正治	ロリズラの取り木について	101		
158		10	柴田 千晶・小宮 定志	1996年（8月まで）自生地調査の記録	101		
158		11	国松 裕芳	ドロセラの腺毛とド・トルネルビアの生態	107		
158		12	宮本 誠	近畿食虫植物調査1996（中間報告）	108		
158		13	田中 桃三	ハンプトンコートフラワーショウの食虫植物	109		
158	短信	14			110		
158	交換欄	15			113		
158	会からのお知らせ	16			114		
159		1	瀬野 純一	新茶屋湿原及び上新茶屋湿地について	1		
159		2	島井 弘男	ヨーロッパの自生地紀行、スイス編	6		
159		3	柴田 千晶・小宮 定志	西オーストラリア南西部の食虫植物探査	10		
159		4	小宮 定志	日本産Utricularia属の検索表	15		
159		5	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（47）Dashy Koto（No.2）の特長	18		
159		6	稲穂 徳人	Byblis linifloraの新系統と奇形種について	19		
159		7	田辺 直樹	食虫植物の雑草化栽培	20		
159		8	青柳 純一	北九州における食虫植物展	22		
159	文献紹介	9		ll genere Pinguicula in ltalia Centrale・・・；The genus Pinguicula in Morocco；他	23		
159	短信	10			25		
159	交換欄	11			28		
159	会からのお知らせ	12			29		
160		1	岡田 章	壱町田湿地の観察記録、1996年	31		
160		2	佐直 達夫	サロベツ原野のパンケ沼南部と頓別原野のナガバノモウセンゴケ調査	37		
160		3	小堀 弘	ムジナモとの出会いその後	38		
160		4	島井 弘男	ヨーロッパの自生地紀行、フランス／イタリア編	39		
160		5	田中 桃三	西オーストラリアの風景	44		
160		6	田辺 直樹	オーストラリア漫遊記（その１）～食虫植物の宝庫を訪ねて～	46		
160		7	田辺 直樹	日陰で栽培する食虫植物～栽培スペースの工夫～	50		
160		8	佐藤 大作	水戸市植物公園における食虫植物展示会	52		
160	文献紹介	9			53		
160	短信	10			54		
160	交換欄	11			56		
160	会からのお知らせ	12			58		
161		1	小宮 定志	志方欽二先生の思い出	61		
161		2	瀬野 純一	セファロタスにおける組織培養馴化苗の作成	63		
161		3	小宮 定志・柴田 千晶・梅田 衛	Utricularia humboldtiiの種子と発芽	68		
161		4	島井 弘男	ヨーロッパの自生地紀行、イギリス編	70		
161		5	赤塚 靖	わが家周辺（岐阜県各務原市）の食虫植物	75		
161		6	田辺 直樹	オーストラリア漫遊記（その2）～食虫植物の宝庫を訪ねて～	76		
161		7	田辺 直樹	植木鉢の選び方 ～素焼鉢がベストなのか～	80		
161		8	種村 利昭	ペットボトルを利用した簡易腰水用水盤水位自動維持装置	81		
161	文献紹介	9		Venus Fly Traps and Waterwheels、他；葦毛湿原保護の会・ナガバノイシモチソウ群落保護の会活動記録；千葉県の自然誌、他	82		
161	短信	10			84		
161	交換欄	11			85		
161	会からのお知らせ	12			87		
162		1	小宮 定志	自然保護を訴える	91		
162		2	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（48）Fulgent Koto（No.1,2）の特長	92		
162		3	島井 弘男	ヨーロッパの自生地紀行、アイルランド編	94		
162		4	小宮 定志・柴田 千晶・大場 達之・田中 桃三	第2次のサハリン食虫植物探査	98		
162		5	外山 雅寛	樺太にPinguicula variegataを求めて	105		
162		6	勝俣 員伊	「サハリン、幻の食虫植物を求めて8日間」に参加して	108		
162		7	田辺 直樹	食虫植物の輸入の仕方	112		
162		8	石高 和弘	お金をかけないDarlingtoniaの放任栽培	114		
162	文献紹介	9		絶滅危惧種フサタヌキモの岩手県における現状；県指定天然記念物ミミカキグサとモウセンゴケ自生地（寄居町）；茨城における絶滅のおそれのある野生生物＜植物編＞、他	116		
162	短信	10			117		
162	交換欄	11			120		
162	会からのお知らせ	12			121		
163		1	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（49）Dreamy Koto（No.3）の特長	1		
163		2	島井 弘男	ヨーロッパの自生地紀行、スペイン編	2		
163		3	田辺 直樹	マレー半島のネペンテス調査、その1	8		
163		4	宮本 誠	アフリカ南部探索記－スクーター15,000km新種発見の旅－	13		
163		5	外山 雅寛・勝俣 員伊	夕張岳の食虫植物	15		
163		6	外山 雅寛・勝俣 員伊	札幌市の食虫植物の新産地	15		
163		7	内藤 弘昭	石立山のムシトリスミレ探訪記	16		
163		8	内藤 弘昭	ナガバノイシモチソウの栽培記	17		
163		9	日下部 勇	NEPENTHES挿木の消毒法	18		
163		10	瀬野 純一	ナガバノイシモチソウの危機	18		
163		11	瀬野 純一	北九州市食虫植物展	19		
163		12	小宮 定志	文献資料に基づく食虫植物分布の変還、３県の例	20		
163	文献紹介	13		Skeletal revision of Nepenthes；植物版レッドリスト；Guide to the carnivorous Plants of Singapore、他	23		誤：carnivorons
163	短信	14			27		
163	交換欄	15			28		
163	会からのお知らせ	16			29		
164		1	岡田 章	壱町田湿地の観察記録（1997年）	31		
164		2	外山 雅寛	タヌキモとオオタヌキモ殖芽の形態学的な観察	37		
164		3	島井 弘男	ヨーロッパの自生地紀行、フランス／アンドーラ編	39		
164		4	田辺 直樹	マレー半島のネペンテス調査、その2	46		
164		5	岡村 正治	西スマトラ、ガド山調査報告（1）	50		
164		6	三野 善弘	ネペンテスのさし木について	55		
164		7	稲穂 徳人	ピンギキュラ雑想	57		
164		8	森本 泰弘	水戸市植物公園の食虫植物展	58		
164	文献紹介	9		樺太の植物；サハリンの食虫植物探査行の成果報告；長野県植物誌；他	59		
164	短信	10			61		
164	交換欄	11			62		
164	会からのお知らせ	12			63		
165		1	中川 泰秀	篠宮義彦氏を偲ぶ	65		
165		2	島井 弘男	ヨーロッパの自生地紀行、続イギリス編	65		
165		3	岡村 正治	西スマトラ、ガド山調査報告（2）	70		
165		4	外山 雅寛・勝俣 員伊	ナカイチ沼の再踏査と食虫植物の新産地報告	78		
165		5	佐直 達夫	北海道サロベツ原野と頓別原野のナガバノモウセンゴケ、1997年	80		
165		6	植松 茂	浜頓別食虫植物研究会発足にあたって	81		
165		7	三野 善弘	高山性ネペンテスの栽培と冷房温室の運用（1）	82		
165		8	田辺 直樹	食虫植物ライフの楽しみ方	86		
165	文献紹介	9		Nepenthes of Borneo；サハリンの幻の花を訪ねて；広島県植物誌；他	89		
165	短信	10			90		
165	交換欄	11			93		
165	会からのお知らせ	12			93		
166		1	岡村 正治	西スマトラ・ガド山調査報告（3）	95		
166		2	外山 雅寛・勝俣 員伊	1998年第１次東野幌湿原調査報告	103		
166		3	外山 雅寛・勝俣 員伊・植松 茂	原始ヶ原湿原の食虫植物	107		
166		4	柴田 千晶・梅田 衛	第３次サハリン調査報告	109		
166		5	三野 善弘	高山性ネペンテスの栽培と冷房温室の運用（2）	113		
166	文献紹介	6		東北におけるフサタヌキモの現状と保全、他	118		
166	短信	7			120		
166	交換欄	8			122		
166	会からのお知らせ	9			123		
166	南総食虫植物園だより	10			124		
167		1	日下部 勇	創立50周年を迎えて	1		
167		2	日下部 勇	若き日の想い出－戦前の食虫植物事情	7		
167		3	小宮 定志	食虫植物研究会の50年を顧みる	9		
167		4	柴田 千晶	ブラジルの食虫植物調査旅行	15		
167		5	島井 弘男	ヨーロッパの自生地紀行、チェコ編	21		
167		6	山本 卓哉	私のネペンテス交配	24		
167		7	日下部 勇	Nepenthes Hybrida Veitch	27		
167		8	外山 雅寛	北サハリンよりカラフトムシトリスミレの新産地報告	28		
167		9	外山 雅寛・勝俣 員伊	北海道よりホザキノミミカキグサ・コタヌキモの新産地報告	32		
167		10	石坂 悟	名古屋食虫植物懇話会の現状	33		
167		11	田辺 直樹	浜田山における食虫植物の集いについて	34		
167		12	赤塚 靖	東海食虫植物研究会の発足	35		
167		13	笈田 一子・外山 雅寛	［速報］北海道鶴川町よりタヌキモの再確認とヒメタヌキモの新分布記録	36		
167	交換欄	14			36		
167	会からのお知らせ	15			37		
168		1	岡田 章	壱町田湿地の観察記録（1998年）	39		
168		2	島井 弘男	ヨーロッパの自生地紀行、スロヴァキア編	44		
168		3	田辺 直樹	マレー半島・熱帯高地性のNepenthes調査（1）	47		
168		4	田中 桃三	大阿原湿原のタヌキモと伊豆半島のミミカキグサ類	55		
168		5	外山 雅寛・勝俣 員伊	津軽半島西部の食虫植物調査	56		
168		6	外山 雅寛・勝俣 員伊	北海道北桧山管内よりタヌキモの新産地と静狩湿原踏査報告	62		
168		7	窪田 宣和	常滑市小鈴谷地区の保全について	64		
168		8	岡村 正治	ウツボカズラの新交配種について	66		
168		9	稲穂 徳人	食虫植物に夢をのせて	68		
168	文献紹介	10		Carnivorous Plants of Australia vol.3、他	68		
168	短信	11			70		
168	交換欄	12			71		
168	会からのお知らせ	13			72		
169		1	島井 弘男	ヨーロッパの自生地紀行、イタリア編	73		
169		2	田辺 直樹	マレー半島・熱帯高地性のNepenthes調査（2）	77		
169		3	フェルナンド・リバダビア 訳 袖川 芳之	ネブリナ山探検記（1）	83		
169		4	小坂田 泰直	ブラジル（ベルン）からの近況報告	88		
169		5	外山 雅寛	水生タヌキモ類花の観察	90		
169		6	外山 雅寛	Nepenthes（標本）の日本渡来は文政年間までさかのぼるか	92		
169		7	植松 茂	浜頓別町のナガバノモウセンゴケ保護対策のその後	94		
169		8	日下部 勇	ネペンテスの同種異名（Synonym）	95		
169		9	田中 桃三	会費値上げについて、役員会の結果から	96		
169	短信	10			96		
169	交換欄	11			99		
169	会からのお知らせ	12			100		
170		1	島井 弘男	ヨーロッパの自生地紀行、ギリシャ編	103		
170		2	フェルナンド・リバダビア 訳 袖川 芳之	ネブリナ山探検記（2）	107		
170		3	小宮 定志・上野 雄規・佐々木 喜久	秋田県にフサタヌキモ出現	110		
170		4	柴田 千晶	1998～1999年ギアナ高地の探査、略報	112		
170		5	三野 善弘	ミンダナオのネペンテス	115		
170		6	外山 雅寛・勝俣 員伊・植松 茂	北海道におけるヒメタヌキモの新産地	117		
170		7	外山 雅寛・勝俣 員伊・植松 茂	北海道におけるオオタヌキモの新産地	120		
170		8	田中 桃三	50年前の風景	121		
170		9	山本 宜則	名古屋食虫植物懇話会1999年度第一回現地調査会報告	122		
170		10	山本 宜則	東山植物園の食虫植物展	123		
170		11	日下部 勇	会費値上げに就いて、見送りが最良	124		
170		12	岡村 正治	役員会の結果報告等に関する意見	125		
170		13	越川 幸雄	南總喰蟲植物園だより	126		
170	文献紹介	14		ようこそネペンテスの世界へ；福島県新産地植物コモウセンゴケ；日本産ムシトリスミレ属；茨城県版レッドデータブック；千葉県レッドデータブック植物編；他	127		
170	短信	15			130		
170	交換欄	16			133		
170	会からのお知らせ	17			133		
171		1	小宮 定志	清水清先生のご逝去を悼む	1		
171		2	倉田 重夫	清水清先生の思い出	2		
171		3	島井 弘男	ヨーロッパの自生地紀行、トルコ／キプロス編	3		
171		4	三野 善弘	ミンダナオのネペンテス（2）	7		
171		5	小坂田 泰直	ブラジル・ベレン市周辺の食虫植物	11		
171		6	フェルナンド・リバダビア・ロペス、訳 袖川 芳之	ブラジルの食虫植物（1）まぼろしの花、ドロセラ・セッシリフォリア	12		
171		7	植松 茂・勝俣 員伊・外山 雅寛	1999年北海道食虫植物調査報告書	15		
171		8	小宮 定志・柴田 千晶	日本産ムシトリスミレの分布、追加報告	22		
171		9	深津 康博	最近の食虫植物インターネット事情	24		
171		10	柴田 千晶	創立50周年記念パーティの報告	26		
171	短信	11			29		
171	交換欄	12			31		
171	会からのお知らせ	13			32		
172		1	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（50）Tremendous Koto（No.1,2）の特長	33		
172		2	島井 弘男	ヨーロッパの自生地紀行、補稿および参考文献	34		
172		3	柴田 千晶・小宮 定志	オーストラリアの食虫植物分布調査	36		
172		4	岡田 章・川崎 國雄	壱町田湿地の観察記録（1999年）	39		
172		5	岡田 章・川崎 國雄	壱町田湿地におけるナガバノイシモチソウの成長記録	43		
172		6	植松 茂・勝俣 員伊・外山 雅寛	津軽半島西部の食虫植物調査Ⅱ	45		
172		7	三野 善弘	ミンダナオのネペンテス（3）	51		
172		8	フェルナンド・リバダビア・ロペス、訳 袖川 芳之	ブラジルの食虫植物（2）	54		
172		9	本多 真	清水清先生の写真集に思う	55		
172		10	三野 善弘	志方欽二記念賞受賞に際し	57		
172		11	田中 桃三	ブラジル報告　パート１	58		
172	文献紹介	12			59		
172	短信	13			60		
172	交換欄	14			61		
172	会からのお知らせ	15			61		
173		1	倉田 重夫	再発見のNepenthes campanulata S.Kurata	63		
173		2	高井 功・小宮 定志	Utricularia campbelliana Oliv.の種子と芽生えの観察	66		
173		3	三野 善弘	ミンダナオのネペンテス（4）	67		
173		4	柴田 千晶	ボルネオ・キナバル山のフラワーウォッチング	72		
173		5	柴田 千晶	ネブリナ山の登山・調査記録（1）	76		
173		6	フェルナンド・リバダビア・ロペス、訳 袖川 芳之	ブラジルの食虫植物（3）	82		
173		7	田中 桃三	ブラジル報告　パート２	85		
173		8	宮本 誠	星野鉄雄さんを偲んで	86		
173	文献紹介	9			86		
173	短信	10			88		
173	交換欄	11			89		
173	会からのお知らせ	12			89		
174		1	柴田 千晶	ネブリナ山の登山・調査記録（2）	91		
174		2	フェルナンド・リバダビア・ロペス、訳 袖川 芳之	ブラジルの食虫植物（4）	96		
174		3	三野 善弘	ミンダナオのネペンテス（5）	100		
174		4	柴田 千晶	オレゴン・アラスカ自生地見学ツアーの記録	103		
174		5	小宮 定志・外山 雅寛・植松 茂	米国オレゴン州・アラスカ州の食虫植物探査の成果	107		
174		6	田中 桃三	ブラジル報告　パート３	111		
174		7	山本 宜則	中央アルプスのムシトリスミレ	112		
174		8	伴 充晃	P.primulifloraの八重咲きについて	112		
174		9	袖川 芳之	食虫植物交換会の企画について	114		
174	文献紹介	10			115		
174	短信	11			116		
174	交換欄	12			117		
174	会からのお知らせ	13			118		
175		1	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（51）Fine Koto（No.1）の特長	1		
175		2	田中 桃三	ケープタウン旅行記	1		
175		3	柴田 千晶・渡辺 弘晴	第2回ブラジル調査旅行　－雨期のブラジル－	2		
175		4	袖川 芳之	ブラジル産食虫植物の基礎知識	7		
175		5	渡辺 弘晴	水槽撮影と拡大撮影について（講演要旨）	10		
175		6	外山 雅寛	オオタヌキモとタヌキモの開花の生態について	13		
175		7	松下 博彦	愛媛県東予地方の食虫植物自生地	16		
175		8	小宮 定志	コウシンソウを見守って50年	17		
175		9	高井 功	Byblis filifolia Planchon	21		
175		10	石坂 悟	私のP.primuliflora八重咲きについて	21		
175	文献紹介	11			22		
175	短信	12			24		
175	交換欄	13			27		
175	会からのお知らせ	14			27		
176		1	小宮 定志	柴田瑳武郎氏のご逝去を悼む	29		
176		2	倉田 重夫	スマトラ島（インドネシア）およびミンダナオ島（フィリピン）産ウツボカズラの2新種［欧文］	30		
176		3	河瀬 晃四郎	ウツボカズラ、古都シリーズの品種特性（52）Royal Koto（No.1）の特長	35		
176		4	岡田 章・川崎 國雄	壱町田湿地におけるナガバノイシモチソウ（シロバナ）の発芽数と成育数の変化について	35		
176		5	岡田 章・川崎 國雄	壱町田湿地の観察記録（2000年）	38		
176		6	外山 雅寛	北海道でチビヒメタヌキモを発見（第1報）	41		
176		7	小坂田 泰直	Serra NegraとCaburai山の植物	42		
176		8	田中 秀和	高校の授業でのハエジゴクの教材化	43		
176		9	佐藤 大作	セファロタスの栽培方法について	46		
176		10	岡安 智之	身近な熱帯ドロセラなどのお話	47		
176		11	袖川 芳之	ムシトリスミレの系統維持栽培について	48		
176	文献紹介	12			52		
176	短信	13			53		
176	交換欄	14			55		
176	会からのお知らせ	15			55		
177		1	渡邉 弘晴	Pinguicula villosaの開花	57		
177		2	三野 善弘	ネペンテス見分書	58		
177		3	三野 善弘	ネペンテスの屋外栽培	59		
177		4	小宮 定志	ムジナモ栽培についての歴史的経過	62		
177		5	岡田 章・川崎 國雄	壱町田湿地におけるナガバノイシモチソウ（シロバナ）の発芽と成長数の調査	67		
177		6	柴田 千晶	ボルネオ島のネペンテス観察	69		
177		7	片桐 義昭	Drosera capensisの交配（その1）	74		
177	文献紹介	8			75		
177	短信	9			77		
177	交換欄	10			79		
177	会からのお知らせ	11			79		
178		1	植松 茂	大都市札幌市内におけるタヌキモの大群落地新発見	81		
178		2	若林 浩	オーストラリア・ノーザンテリトリー（北部準州）調査旅行記	82		
178		3	柴田 千晶	2001年庚申山見学会の記録	89		
178		4	柴田 千晶・小宮 定志	米国南東部の食虫植物を訪ねて	91		
178	文献紹介	5			94		
178	短信	6			96		
178	交換欄	7			99		
178	会からのお知らせ	8			99		
178	会員名簿	9					
179		1	中野 忠男	羽生市ムジナモ保存会が環境大臣賞を受賞	1		
179		2	植松 茂・笈田 一子・勝俣 員伊・外山 雅寛	北海道でチビヒメタヌキモを発見（第2報）～発見史・形態・生態～	1		
179		3	植松 茂・外山 雅寛・勝俣 員伊	大都市札幌市内におけるタヌキモ大群落地報告（第2報）	8		
179		4	外山 雅寛・植松 茂	北海道で観察されたタヌキモの食害について	10		
179		5	倉田 重夫	ニューカレドニアの食虫植物（序）	11		
179		6	袖川 芳之	ドロソフィルム・ルシタニカムの播種と育成について	12		
179		7	中野 忠男	羽生市ムジナモ保存会で「成東・東金食虫植物群落」を見学	16		
179		8	柴田 千晶	武豊町壱町田湿地見学会の報告	16		
179		9	柴田 千晶	2001 西オーストラリア探訪	17		
179		10	小宮 定志	文献からみた食虫植物の都道府県別分布傾向	20		
179	文献紹介	11			23		
179	短信	12			24		
179	交換欄	13			25		
179	会からのお知らせ	14			25		
180		1	渡辺 弘晴	イビセラ・ルテアの観察	27		
180		2	笈田 一子	北海道からタヌキモ類の新産地	31		
180		3	倉田 重夫	ネペンテス科（属）種一覧	32		
180		4	瀬野 純一	Drosera oblanceolataについて	36		
180		5	袖川 芳之	ピンギキュラ・ギガンテア類について	36		
180		6	岡村 正治	イビセラの栽培について	38		
180		7	三野 善弘	昨年のネペンテス栽培の考察	39		
180		8	小宮 定志・柴田 千晶	平成13年度宝蔵寺沼における環境調査及びムジナモ等水生植物の放流・増殖実験等の経過報告	40		
180		9	柴田 千晶	小宮定志教授最終記念講義の要旨 付、食虫植物の分類表～種数と分布	46		
180	文献紹介	10			48		
180	短信	11			49		
180	交換欄	12			51		
180	会からのお知らせ	13			52		
181		1	Dr.A.Lau（袖川 芳之 訳）	メキシコ産Pinguiculaの故郷を訪ねて	53		
181		2	外山 雅寛	北日本における水生タヌキモ類自生地に出現する種ごとの組合わせとイヌタヌキモに関する新知見（第1報）	56		
181		3	外山 雅寛	マンシュウタヌキモばなし	61		
181		4	外山 雅寛	水生タヌキモ類とミズグモ	62		
181		5	田中 桃三	フロリアード2002の食虫植物展示	66		
181		6	若林 浩	オーストラリアの食虫植物、西オーストラリア＆ノーザンテリトリー	67		
181		7	柴田 千晶	2002年サハリン調査旅行	72		
181		8	富田 裕明	サハリン食虫植物観察の旅に参加して	78		
181		9	宮本 誠	近畿地方のイシモチソウ自生地と現状	84		
181		10	内藤 弘昭	ナガバノイシモチソウの栽培について	84		
181		11	袖川 芳之	サラセニア・ルブラの亜種について	85		
181	第4回国際食虫植物会議日本大会特集	12		プログラム、基調講演・口演発表・シンポジウムの要旨、ポスター発表の要旨、ワークショップの要旨、エクスカージョンの記録	88		
181	第4回国際食虫植物会議日本大会特集	13	岡村 正治	第4回国際食虫植物会議に参加して	98		
181	第4回国際食虫植物会議日本大会特集	14	柴田 千晶	オフィシャル・エクスカージョン、庚申山見学会の記録	100		
181	第4回国際食虫植物会議日本大会特集	15	小宮 定志	ポスト・エクスカージョン、羽生市ムジナモ自生地と騎西町ビブリス栽培場見学会の記録	101		
181	第4回国際食虫植物会議日本大会特集	16	小林 敦	コウシンソウ観察会に参加して	102		
181	文献紹介	17			105		
181	短信	18			106		
181	交換欄	19			111		
181	会からのお知らせ	20			111		
182		1	長谷部 光泰	モウセンゴケ科およびモウセンゴケ属の系統関係（第4回国際食虫植物会議日本大会基調講演）	1		
182		2	高井 功	羽生市ムジナモ自生地とビブリス・フィリフォリア栽培場見学会（第4回国際食虫植物会議日本大会ポスト・エスカージョン）	10		
182		3	三尾 和久	キナバル周辺のネペンテス自生地調査	12		
182		4	田中 桃三	西オーストラリアの食虫植物	15		
